Error Sentence,Error Type,Corrected Sentence
அவர்கள் ஸ்டேடியத்தில் கிரிக்கெட் ஆடுகிறார்கள்., No Error, அவர்கள் ஸ்டேடியத்தில் கிரிக்கெட் ஆடுகிறார்கள்.
நாங்கள் பொதுக்கூட்டத்தில் கருத்துக்களை பரிமாறிக்கொள்கிறோம்., No Error, நாங்கள் பொதுக்கூட்டத்தில் கருத்துக்களை பரிமாறிக்கொள்கிறோம்.
நீங்கள் தினமும் உடற்பயிற்சி மையத்திற்கு செல்வது ஒரு நல்ல பழக்கம்., No Error, நீங்கள் தினமும் உடற்பயிற்சி மையத்திற்கு செல்வது ஒரு நல்ல பழக்கம்.
அவன் புத்தகங்களில் புதிர்களை தீர்க்க முயல்கிறான்., No Error, அவன் புத்தகங்களில் புதிர்களை தீர்க்க முயல்கிறான்.
நான் செடியின் அருகே நல்ல புகைப்படங்களை எடுக்கிறேன்., No Error, நான் செடியின் அருகே நல்ல புகைப்படங்களை எடுக்கிறேன்.
நீங்கள் கடலில் நீச்சல் கற்றுக் கொள்கிறீர்கள்., No Error, நீங்கள் கடலில் நீச்சல் கற்றுக் கொள்கிறீர்கள்.
நாங்கள் மகிழ்ச்சியுடன் வெற்றியை கொண்டாடுகிறோம்., No Error, நாங்கள் மகிழ்ச்சியுடன் வெற்றியை கொண்டாடுகிறோம்.
அவள் தினமும் வீட்டில் கதைகள் எழுத்துசெய்கிறாள்., No Error, அவள் தினமும் வீட்டில் கதைகள் எழுத்துசெய்கிறாள்.
நீங்கள் நண்பர்களுடன் இணைந்து நடனம் பயிற்சி செய்கிறீர்கள்., No Error, நீங்கள் நண்பர்களுடன் இணைந்து நடனம் பயிற்சி செய்கிறீர்கள்.
நான் கணினியில் புதிய விளையாட்டுகளை விளையாடுகிறேன்., No Error, நான் கணினியில் புதிய விளையாட்டுகளை விளையாடுகிறேன்.
நாங்கள் பள்ளியில் படித்த பாடங்களை திரும்பப்பார்க்கிறோம்., No Error, நாங்கள் பள்ளியில் படித்த பாடங்களை திரும்பப்பார்க்கிறோம்.
அவன் தெருவில் செல்லும் பேருந்தைப் பிடிக்க முயல்கிறான்., No Error, அவன் தெருவில் செல்லும் பேருந்தைப் பிடிக்க முயல்கிறான்.
அவர்கள் பொதுவிடுதியில் ஆராய்ச்சி நடத்துகிறார்கள்., No Error, அவர்கள் பொதுவிடுதியில் ஆராய்ச்சி நடத்துகிறார்கள்.
நீங்கள் தினமும் ரயில் நிலையத்திற்கு நடந்து செல்கிறீர்கள்., No Error, நீங்கள் தினமும் ரயில் நிலையத்திற்கு நடந்து செல்கிறீர்கள்.
நான் கடற்கரையில் மணலுடன் கோபுரம் கட்டுகிறேன்., No Error, நான் கடற்கரையில் மணலுடன் கோபுரம் கட்டுகிறேன்.
அவள் வீட்டில் குட்டி பூனைகளுக்கு உணவு கொடுக்கிறாள்., No Error, அவள் வீட்டில் குட்டி பூனைகளுக்கு உணவு கொடுக்கிறாள்.
நாங்கள் மாலை நேரத்தில் பூங்காவில் ஓடுகிறோம்., No Error, நாங்கள் மாலை நேரத்தில் பூங்காவில் ஓடுகிறோம்.
அவன் நாள்தோறும் புதிய பாடங்களைத் தவறாமல் பழகுகிறான்., No Error, அவன் நாள்தோறும் புதிய பாடங்களைத் தவறாமல் பழகுகிறான்.
நீங்கள் சந்தையில் புதிய விற்பனை பொருட்களை தேர்வு செய்கிறீர்கள்., No Error, நீங்கள் சந்தையில் புதிய விற்பனை பொருட்களை தேர்வு செய்கிறீர்கள்.
நான் நண்பர்களுடன் மலைகளில் சவாரி செய்கிறேன்., No Error, நான் நண்பர்களுடன் மலைகளில் சவாரி செய்கிறேன்.
நாங்கள் வீடுகளில் ஒழுக்கமான முறையில் வேலை செய்வோம்., No Error, நாங்கள் வீடுகளில் ஒழுக்கமான முறையில் வேலை செய்வோம்.
அவன் தினமும் ஒரு கட்டுரை எழுத முயற்சிக்கிறான்., No Error, அவன் தினமும் ஒரு கட்டுரை எழுத முயற்சிக்கிறான்.
அவர்கள் தியேட்டரில் புதிய திரைப்படத்தைப் பார்க்கிறார்கள்., No Error, அவர்கள் தியேட்டரில் புதிய திரைப்படத்தைப் பார்க்கிறார்கள்.
நான் பாடசாலையில் விஞ்ஞான அனுபவங்களை செய்து பார்த்தேன்., No Error, நான் பாடசாலையில் விஞ்ஞான அனுபவங்களை செய்து பார்த்தேன்.
நீங்கள் கல்லூரியில் புதிய பாடத்திட்டத்தை ஆராய்கிறீர்கள்., No Error, நீங்கள் கல்லூரியில் புதிய பாடத்திட்டத்தை ஆராய்கிறீர்கள்.
அவள் தினமும் மருந்துகளை எடுத்துக் கொள்கிறாள்., No Error, அவள் தினமும் மருந்துகளை எடுத்துக் கொள்கிறாள்.
நாங்கள் புத்தகக் கல்லூரியில் விஷயங்களைத் தேடுகிறோம்., No Error, நாங்கள் புத்தகக் கல்லூரியில் விஷயங்களைத் தேடுகிறோம்.
அவன் நண்பர்களுடன் கால்பந்து விளையாட்டில் பங்கேற்கிறான்., No Error, அவன் நண்பர்களுடன் கால்பந்து விளையாட்டில் பங்கேற்கிறான்.
நீங்கள் வீட்டில் வினோத உணவுகளைச் சமைக்கிறீர்கள்., No Error, நீங்கள் வீட்டில் வினோத உணவுகளைச் சமைக்கிறீர்கள்.
நான் நண்பர்களுடன் ஒற்றுமையாக விளையாடுகிறேன்., No Error, நான் நண்பர்களுடன் ஒற்றுமையாக விளையாடுகிறேன்.
அவள் மகிழ்ச்சியுடன் தாய்க்கு அன்பாக செயல்படுகிறாள்., No Error, அவள் மகிழ்ச்சியுடன் தாய்க்கு அன்பாக செயல்படுகிறாள்.
அவர்கள் சமூக சேவையில் தன்னார்வமாக பணியாற்றுகிறார்கள்., No Error, அவர்கள் சமூக சேவையில் தன்னார்வமாக பணியாற்றுகிறார்கள்.
நாங்கள் மழை காலத்தில் பூங்காவில் விளையாடுகிறோம்., No Error, நாங்கள் மழை காலத்தில் பூங்காவில் விளையாடுகிறோம்.
அவள் பூங்காவில் நடக்கிறாள்., No Error, அவள் பூங்காவில் நடக்கிறாள்.
நான் வீட்டில் புத்தகங்களை வாசிக்கிறேன்., No Error, நான் வீட்டில் புத்தகங்களை வாசிக்கிறேன்.
நீங்கள் வீட்டில் கோட்பாடு எழுதுகிறீர்கள்., No Error, நீங்கள் வீட்டில் கோட்பாடு எழுதுகிறீர்கள்.
அவன் தினமும் ஓய்வு நேரத்தில் வாசிக்கிறான்., No Error, அவன் தினமும் ஓய்வு நேரத்தில் வாசிக்கிறான்.
நாங்கள் மழையிலும் விளையாடுகிறோம்., No Error, நாங்கள் மழையிலும் விளையாடுகிறோம்.
நீங்கள் கலைக்களஞ்சியத்தை பார்வையிடுகிறீர்கள்., No Error, நீங்கள் கலைக்களஞ்சியத்தை பார்வையிடுகிறீர்கள்.
அவள் நாயுடன் விளையாடுகிறாள்., No Error, அவள் நாயுடன் விளையாடுகிறாள்.
நாங்கள் மாலை நேரத்தில் தோட்டத்தில் வேலை செய்கிறோம்., No Error, நாங்கள் மாலை நேரத்தில் தோட்டத்தில் வேலை செய்கிறோம்.
அவர்கள் சுற்றுப்பயணத்தில் புகைப்படம் எடுக்கிறார்கள்., No Error, அவர்கள் சுற்றுப்பயணத்தில் புகைப்படம் எடுக்கிறார்கள்.
நான் பள்ளியில் பரிசு வென்றேன்., No Error, நான் பள்ளியில் பரிசு வென்றேன்.
நீங்கள் கடற்கரையில் ஓடுகிறீர்கள்., No Error, நீங்கள் கடற்கரையில் ஓடுகிறீர்கள்.
அவன் காற்றில் பட்டம் பறக்க விடுகிறான்., No Error, அவன் காற்றில் பட்டம் பறக்க விடுகிறான்.
நாங்கள் மாறுவேடமிட்டு விழாவைக் கொண்டாடுகிறோம்., No Error, நாங்கள் மாறுவேடமிட்டு விழாவைக் கொண்டாடுகிறோம்.
அவர்கள் ஒவ்வொரு வாரமும் கோவில் செல்லுகிறார்கள்., No Error, அவர்கள் ஒவ்வொரு வாரமும் கோவில் செல்லுகிறார்கள்.
நான் பசுமை தரையில் படுத்து ஓய்வு எடுக்கிறேன்., No Error, நான் பசுமை தரையில் படுத்து ஓய்வு எடுக்கிறேன்.
அவள் தோட்டத்தில் காய்கறிகளை வளர்க்கிறாள்., No Error, அவள் தோட்டத்தில் காய்கறிகளை வளர்க்கிறாள்.
நீங்கள் புத்தகக் கண்காட்சியில் புதிய புத்தகங்களை தேடுகிறீர்கள்., No Error, நீங்கள் புத்தகக் கண்காட்சியில் புதிய புத்தகங்களை தேடுகிறீர்கள்.
நாங்கள் நண்பர்களுடன் சினிமா பார்க்கிறோம்., No Error, நாங்கள் நண்பர்களுடன் சினிமா பார்க்கிறோம்.
அவர்கள் பொதுக் பூங்காவில் விவாதம் நடத்துகிறார்கள்., No Error, அவர்கள் பொதுக் பூங்காவில் விவாதம் நடத்துகிறார்கள்.
நான் தினமும் மாலை நேரத்தில் ஓடுகிறேன்., No Error, நான் தினமும் மாலை நேரத்தில் ஓடுகிறேன்.
அவள் பள்ளியில் கலைப்போட்டியில் கலந்து கொள்கிறாள்., No Error, அவள் பள்ளியில் கலைப்போட்டியில் கலந்து கொள்கிறாள்.
நீங்கள் வீடு பராமரிப்பில் ஆர்வம் காட்டுகிறீர்கள்., No Error, நீங்கள் வீடு பராமரிப்பில் ஆர்வம் காட்டுகிறீர்கள்.
நாங்கள் புத்தகங்களை அடுக்கி வைக்கிறோம்., No Error, நாங்கள் புத்தகங்களை அடுக்கி வைக்கிறோம்.
அவன் தினமும் சுட்ட சிக்கன் உண்கிறான்., No Error, அவன் தினமும் சுட்ட சிக்கன் உண்கிறான்.
நான் மழை காலத்தில் கோடி விளையாடுகிறேன்., No Error, நான் மழை காலத்தில் கோடி விளையாடுகிறேன்.
நீங்கள் தலையில் புன்னகையுடன் இருக்கிறீர்கள்., No Error, நீங்கள் தலையில் புன்னகையுடன் இருக்கிறீர்கள்.
அவள் தேநீர் பருகி புத்தகத்தை வாசிக்கிறாள்., No Error, அவள் தேநீர் பருகி புத்தகத்தை வாசிக்கிறாள்.
அவர்கள் சங்கில் புதிய உறுப்பினர்களை சேர்க்கிறார்கள்., No Error, அவர்கள் சங்கில் புதிய உறுப்பினர்களை சேர்க்கிறார்கள்.
நாங்கள் பள்ளியில் விளையாட்டு போட்டிகளில் பங்கேற்கிறோம்., No Error, நாங்கள் பள்ளியில் விளையாட்டு போட்டிகளில் பங்கேற்கிறோம்.
நீங்கள் குப்பைகளை தூய்மைப்படுத்துகிறீர்கள்., No Error, நீங்கள் குப்பைகளை தூய்மைப்படுத்துகிறீர்கள்.
அவன் ஆராய்ச்சி கட்டுரையை எழுத ஆரம்பித்தான்., No Error, அவன் ஆராய்ச்சி கட்டுரையை எழுத ஆரம்பித்தான்.
நான் நண்பர்களுடன் பளுவில் பயிற்சி செய்கிறேன்., No Error, நான் நண்பர்களுடன் பளுவில் பயிற்சி செய்கிறேன்.
அவர்கள் பள்ளி நிகழ்ச்சியை அழகாக சமைக்கிறார்கள்., No Error, அவர்கள் பள்ளி நிகழ்ச்சியை அழகாக சமைக்கிறார்கள்.
நீங்கள் வீட்டில் கலாசார விழாவை நடத்துகிறீர்கள்., No Error, நீங்கள் வீட்டில் கலாசார விழாவை நடத்துகிறீர்கள்.
நாங்கள் புதிய கணினி மென்பொருளை நிறுவுகிறோம்., No Error, நாங்கள் புதிய கணினி மென்பொருளை நிறுவுகிறோம்.
அவள் பாசத்துடன் குழந்தைகளை பராமரிக்கிறாள்., No Error, அவள் பாசத்துடன் குழந்தைகளை பராமரிக்கிறாள்.
நான் மாலை நேரத்தில் தோட்டத்தை நீர்ப்பாய்ச்சி செய்கிறேன்., No Error, நான் மாலை நேரத்தில் தோட்டத்தை நீர்ப்பாய்ச்சி செய்கிறேன்.
நீங்கள் தினமும் புத்தகங்களை அடுக்கிச் சுத்தப்படுத்துகிறீர்கள்., No Error, நீங்கள் தினமும் புத்தகங்களை அடுக்கிச் சுத்தப்படுத்துகிறீர்கள்.
நாங்கள் புதிய கலைப்பாடல்களை பாட பழகுகிறோம்., No Error, நாங்கள் புதிய கலைப்பாடல்களை பாட பழகுகிறோம்.
அவன் மழைக்காலத்தில் விளையாட்டில் ஆர்வம் காட்டுகிறான்., No Error, அவன் மழைக்காலத்தில் விளையாட்டில் ஆர்வம் காட்டுகிறான்.
நான் தோட்டத்தில் பூக்களை சீரமைக்கிறேன்., No Error, நான் தோட்டத்தில் பூக்களை சீரமைக்கிறேன்.
நீங்கள் கருவூலத்தை பாதுகாக்க சிக்கலான முறைகளை கற்றுக்கொள்கிறீர்கள்., No Error, நீங்கள் கருவூலத்தை பாதுகாக்க சிக்கலான முறைகளை கற்றுக்கொள்கிறீர்கள்.
நாங்கள் மாலை நேரத்தில் பந்தை எறிந்து விளையாடுகிறோம்., No Error, நாங்கள் மாலை நேரத்தில் பந்தை எறிந்து விளையாடுகிறோம்.
அவர்கள் பள்ளியில் கலை நிகழ்ச்சியை நடத்துகிறார்கள்., No Error, அவர்கள் பள்ளியில் கலை நிகழ்ச்சியை நடத்துகிறார்கள்.
நான் தினமும் ஆறுதல் தரும் மழையைக் காண விரும்புகிறேன்., No Error, நான் தினமும் ஆறுதல் தரும் மழையைக் காண விரும்புகிறேன்.
அவன் காற்றில் பட்டம் பறக்க விடுகிறான்., No Error, அவன் காற்றில் பட்டம் பறக்க விடுகிறான்.
நீங்கள் சிறு குழந்தைகளுடன் பொழுதுபோக்குகிறீர்கள்., No Error, நீங்கள் சிறு குழந்தைகளுடன் பொழுதுபோக்குகிறீர்கள்.
நாங்கள் ஆரோக்கியமான பழங்களை சாப்பிடுகிறோம்., No Error, நாங்கள் ஆரோக்கியமான பழங்களை சாப்பிடுகிறோம்.
அவர்கள் காற்றில் மேகங்களை ரசிக்கிறார்கள்., No Error, அவர்கள் காற்றில் மேகங்களை ரசிக்கிறார்கள்.
நான் புதிய பாடங்களை கற்றுக்கொள்வதில் ஆர்வம் காட்டுகிறேன்., No Error, நான் புதிய பாடங்களை கற்றுக்கொள்வதில் ஆர்வம் காட்டுகிறேன்.
அவன் சாலை மேல் நடக்கிறான்., No Error, அவன் சாலை மேல் நடக்கிறான்.
அவள் தினமும் பூங்காவிற்கு சென்று ஓடுகிறாள்., No Error, அவள் தினமும் பூங்காவிற்கு சென்று ஓடுகிறாள்.
நீங்கள் பள்ளியில் ஆசிரியரை கேட்டு கற்கிறீர்கள்., No Error, நீங்கள் பள்ளியில் ஆசிரியரை கேட்டு கற்கிறீர்கள்.
நாங்கள் காற்றாடி பறக்க விடுகிறோம்., No Error, நாங்கள் காற்றாடி பறக்க விடுகிறோம்.
நான் தினமும் காலையில் யோகா செய்கிறேன்., No Error, நான் தினமும் காலையில் யோகா செய்கிறேன்.
அவர்கள் புத்தகத்தில் கவனமாக வாசிக்கிறார்கள்., No Error, அவர்கள் புத்தகத்தில் கவனமாக வாசிக்கிறார்கள்.
அவள் நாயுடன் விளையாடி மகிழ்கிறாள்., No Error, அவள் நாயுடன் விளையாடி மகிழ்கிறாள்.
நீங்கள் உங்கள் வீட்டில் வேலை செய்கிறீர்கள்., No Error, நீங்கள் உங்கள் வீட்டில் வேலை செய்கிறீர்கள்.
நாங்கள் மழையில் பாடல் பாடுகிறோம்., No Error, நாங்கள் மழையில் பாடல் பாடுகிறோம்.
அவன் பள்ளி வேலைகளை முடிக்கிறான்., No Error, அவன் பள்ளி வேலைகளை முடிக்கிறான்.
நீங்கள் புத்தகங்களின் கதையை விவரிக்கிறீர்கள்., No Error, நீங்கள் புத்தகங்களின் கதையை விவரிக்கிறீர்கள்.
நான் மழைநீரில் குளிக்க விரும்புகிறேன்., No Error, நான் மழைநீரில் குளிக்க விரும்புகிறேன்.
அவர்கள் தோட்டத்தில் செடி வளர்க்கிறார்கள்., No Error, அவர்கள் தோட்டத்தில் செடி வளர்க்கிறார்கள்.
நாங்கள் தினமும் பசுமைபார்க்க செல்லுகிறோம்., No Error, நாங்கள் தினமும் பசுமைபார்க்க செல்லுகிறோம்.
அவன் வீட்டில் சமைக்கிறான்., No Error, அவன் வீட்டில் சமைக்கிறான்.
நீங்கள் பூங்காவில் துலா பயிற்சி செய்கிறீர்கள்., No Error, நீங்கள் பூங்காவில் துலா பயிற்சி செய்கிறீர்கள்.
நாங்கள் சூரிய ஒளியில் நடக்கிறோம்., No Error, நாங்கள் சூரிய ஒளியில் நடக்கிறோம்.
அவள் பாடசாலையில் புதிய பாடங்களை கற்கிறாள்., No Error, அவள் பாடசாலையில் புதிய பாடங்களை கற்கிறாள்.
நான் தோட்டத்தில் வேலை செய்ய விரும்புகிறேன்., No Error, நான் தோட்டத்தில் வேலை செய்ய விரும்புகிறேன்.
அவர்கள் வழிபாட்டிற்கு கோவிலில் சேர்ந்துள்ளனர்., No Error, அவர்கள் வழிபாட்டிற்கு கோவிலில் சேர்ந்துள்ளனர்.
நீங்கள் புத்தகத்தை திறந்து வாசிக்கிறீர்கள்., No Error, நீங்கள் புத்தகத்தை திறந்து வாசிக்கிறீர்கள்.
நாங்கள் காற்றில் மனதை திறந்து ரசிக்கிறோம்., No Error, நாங்கள் காற்றில் மனதை திறந்து ரசிக்கிறோம்.
அவன் நட்பு குழுவுடன் விளையாடுகிறான்., No Error, அவன் நட்பு குழுவுடன் விளையாடுகிறான்.
நான் பள்ளியில் பேச்சுப் போட்டியில் கலந்து கொள்கிறேன்., No Error, நான் பள்ளியில் பேச்சுப் போட்டியில் கலந்து கொள்கிறேன்.
அவள் கதை எழுத துவங்குகிறாள்., No Error, அவள் கதை எழுத துவங்குகிறாள்.
நீங்கள் தினமும் பழங்களை சாப்பிடுகிறீர்கள்., No Error, நீங்கள் தினமும் பழங்களை சாப்பிடுகிறீர்கள்.
நாங்கள் மாலை நேரத்தில் அழகான நிலவை ரசிக்கிறோம்., No Error, நாங்கள் மாலை நேரத்தில் அழகான நிலவை ரசிக்கிறோம்.
அவர்கள் தரையில் விளையாடி மகிழ்கிறார்கள்., No Error, அவர்கள் தரையில் விளையாடி மகிழ்கிறார்கள்.
அவன் பழங்களை தோட்டத்தில் சேகரிக்கிறான்., No Error, அவன் பழங்களை தோட்டத்தில் சேகரிக்கிறான்.
நான் வீட்டில் புத்தகங்களை சுத்தம் செய்கிறேன்., No Error, நான் வீட்டில் புத்தகங்களை சுத்தம் செய்கிறேன்.
நீங்கள் பள்ளியில் பாடங்களை நினைவுபடுத்துகிறீர்கள்., No Error, நீங்கள் பள்ளியில் பாடங்களை நினைவுபடுத்துகிறீர்கள்.
நாங்கள் கோடைகாலத்தில் நீச்சல்குளத்தில் விளையாடுகிறோம்., No Error, நாங்கள் கோடைகாலத்தில் நீச்சல்குளத்தில் விளையாடுகிறோம்.
அவர்கள் பசுமை மேடையில் பாடலை ஆரவாரமாக பாடுகிறார்கள்., No Error, அவர்கள் பசுமை மேடையில் பாடலை ஆரவாரமாக பாடுகிறார்கள்.
அவன் கண்ணாடி வைத்து புத்தகம் வாசிக்கிறான்., No Error, அவன் கண்ணாடி வைத்து புத்தகம் வாசிக்கிறான்.
நீங்கள் மழைக்காலத்தில் பாடத்தை கற்கிறீர்கள்., No Error, நீங்கள் மழைக்காலத்தில் பாடத்தை கற்கிறீர்கள்.
நான் மாம்பழத்துடன் ஜூஸை கலக்குகிறேன்., No Error, நான் மாம்பழத்துடன் ஜூஸை கலக்குகிறேன்.
அவர்கள் கோவிலில் செந்தாமரை மலர்களை தருகிறார்கள்., No Error, அவர்கள் கோவிலில் செந்தாமரை மலர்களை தருகிறார்கள்.
நாங்கள் வீட்டில் விளையாட்டு மைதானத்தை அமைக்கிறோம்., No Error, நாங்கள் வீட்டில் விளையாட்டு மைதானத்தை அமைக்கிறோம்.
அவன் மாலை நேரத்தில் அரிசியை வேக செய்கிறான்., No Error, அவன் மாலை நேரத்தில் அரிசியை வேக செய்கிறான்.
நீங்கள் கடற்கரையில் மணலை உருவாக்குகிறீர்கள்., No Error, நீங்கள் கடற்கரையில் மணலை உருவாக்குகிறீர்கள்.
நாங்கள் மாலை நேரத்தில் ஓடினோம்., No Error, நாங்கள் மாலை நேரத்தில் ஓடினோம்.
அவர்கள் காற்றில் பட்டங்கள் பறக்க விடுகிறார்கள்., No Error, அவர்கள் காற்றில் பட்டங்கள் பறக்க விடுகிறார்கள்.
அவள் குழந்தைகளை சுத்தமாக பராமரிக்கிறாள்., No Error, அவள் குழந்தைகளை சுத்தமாக பராமரிக்கிறாள்.
நான் பறவைகளை பார்வையிட அழைக்கிறேன்., No Error, நான் பறவைகளை பார்வையிட அழைக்கிறேன்.
நீங்கள் பல்லாண்டு பழக்கத்தில் ஆரோக்கியம் காக்கிறீர்கள்., No Error, நீங்கள் பல்லாண்டு பழக்கத்தில் ஆரோக்கியம் காக்கிறீர்கள்.
நாங்கள் புதிய பாடங்களை பாடி மகிழ்கிறோம்., No Error, நாங்கள் புதிய பாடங்களை பாடி மகிழ்கிறோம்.
அவர்கள் பள்ளியில் போட்டிகளில் பங்கேற்கிறார்கள்., No Error, அவர்கள் பள்ளியில் போட்டிகளில் பங்கேற்கிறார்கள்.
நான் பூங்காவில் யோகா பயிற்சி செய்கிறேன்., No Error, நான் பூங்காவில் யோகா பயிற்சி செய்கிறேன்.
அவன் தினமும் பள்ளியில் கற்கிறார்., No Error, அவன் தினமும் பள்ளியில் கற்கிறார்.
நீங்கள் மழைநீரில் நனைய விரும்புகிறீர்கள்., No Error, நீங்கள் மழைநீரில் நனைய விரும்புகிறீர்கள்.
நாங்கள் விளையாட்டை ஆடி மகிழ்கிறோம்., No Error, நாங்கள் விளையாட்டை ஆடி மகிழ்கிறோம்.
அவள் வீட்டில் உணவு சமைக்கிறாள்., No Error, அவள் வீட்டில் உணவு சமைக்கிறாள்.
நீங்கள் பள்ளியில் ஆசிரியரை கேட்டு பாடத்தை கற்கிறீர்கள்., No Error, நீங்கள் பள்ளியில் ஆசிரியரை கேட்டு பாடத்தை கற்கிறீர்கள்.
நான் மழைக்காலத்தில் புத்தகம் வாசிக்க விரும்புகிறேன்., No Error, நான் மழைக்காலத்தில் புத்தகம் வாசிக்க விரும்புகிறேன்.
அவர்கள் தோட்டத்தில் வேலை செய்து மகிழ்கிறார்கள்., No Error, அவர்கள் தோட்டத்தில் வேலை செய்து மகிழ்கிறார்கள்.
நாங்கள் தினமும் நண்பர்களுடன் சந்திக்கிறோம்., No Error, நாங்கள் தினமும் நண்பர்களுடன் சந்திக்கிறோம்.
அவன் வீட்டில் விளையாட்டு கற்றுக்கொள்கிறான்., No Error, அவன் வீட்டில் விளையாட்டு கற்றுக்கொள்கிறான்.
நீங்கள் புத்தகங்களை வரிசைப்படுத்துகிறீர்கள்., No Error, நீங்கள் புத்தகங்களை வரிசைப்படுத்துகிறீர்கள்.
நாங்கள் மாலை நேரத்தில் மழையை ரசிக்கிறோம்., No Error, நாங்கள் மாலை நேரத்தில் மழையை ரசிக்கிறோம்.
அவர்கள் நிலத்தில் வேலை செய்கிறார்கள்., No Error, அவர்கள் நிலத்தில் வேலை செய்கிறார்கள்.
நான் பள்ளியில் புதிய பாடங்களை கற்றுக்கொள்கிறேன்., No Error, நான் பள்ளியில் புதிய பாடங்களை கற்றுக்கொள்கிறேன்.
அவள் வீட்டில் சுத்தம் செய்கிறாள்., No Error, அவள் வீட்டில் சுத்தம் செய்கிறாள்.
நீங்கள் சாலை மேலே நடக்கிறீர்கள்., No Error, நீங்கள் சாலை மேலே நடக்கிறீர்கள்.
நாங்கள் தோட்டத்தில் காய்கறிகளை வளர்க்கிறோம்., No Error, நாங்கள் தோட்டத்தில் காய்கறிகளை வளர்க்கிறோம்.
அவர்கள் கோவிலில் விளக்கு ஏற்றுகிறார்கள்., No Error, அவர்கள் கோவிலில் விளக்கு ஏற்றுகிறார்கள்.
அவன் பள்ளியில் புத்தகங்களை வாசிக்கிறான்., No Error, அவன் பள்ளியில் புத்தகங்களை வாசிக்கிறான்.
நான் மழையில் பாடல் பாடுகிறேன்., No Error, நான் மழையில் பாடல் பாடுகிறேன்.
நீங்கள் புத்தக கண்காட்சியில் புதிய புத்தகங்களை தேடுகிறீர்கள்., No Error, நீங்கள் புத்தக கண்காட்சியில் புதிய புத்தகங்களை தேடுகிறீர்கள்.
நாங்கள் நண்பர்களுடன் சினிமா பார்க்கிறோம்., No Error, நாங்கள் நண்பர்களுடன் சினிமா பார்க்கிறோம்.
அவர்கள் பூங்காவில் புகைப்படம் எடுக்கிறார்கள்., No Error, அவர்கள் பூங்காவில் புகைப்படம் எடுக்கிறார்கள்.
அவன் வீடு பராமரிப்பில் ஆர்வம் காட்டுகிறான்., No Error, அவன் வீடு பராமரிப்பில் ஆர்வம் காட்டுகிறான்.
நீங்கள் பள்ளியில் புதிய பாடங்களை நினைவுபடுத்துகிறீர்கள்., No Error, நீங்கள் பள்ளியில் புதிய பாடங்களை நினைவுபடுத்துகிறீர்கள்.
நாங்கள் பள்ளி மைதானத்தில் விளையாடுகிறோம்., No Error, நாங்கள் பள்ளி மைதானத்தில் விளையாடுகிறோம்.
அவர்கள் மழைக்காலத்தில் செடியை வளர்க்கிறார்கள்., No Error, அவர்கள் மழைக்காலத்தில் செடியை வளர்க்கிறார்கள்.
நான் மாலை நேரத்தில் தோட்டத்தில் காய்கறிகளை சுத்தம் செய்கிறேன்., No Error, நான் மாலை நேரத்தில் தோட்டத்தில் காய்கறிகளை சுத்தம் செய்கிறேன்.
அவள் தாயாருடன் வீட்டில் சமைக்கிறது., No Error, அவள் தாயாருடன் வீட்டில் சமைக்கிறது.
நீங்கள் கலை நிகழ்ச்சியில் பங்கேற்கிறீர்கள்., No Error, நீங்கள் கலை நிகழ்ச்சியில் பங்கேற்கிறீர்கள்.
நாங்கள் புத்தகங்களை அடுக்கி வைத்தோம்., No Error, நாங்கள் புத்தகங்களை அடுக்கி வைத்தோம்.
அவர்கள் கோவிலில் மாலை நேரத்தில் வழிபாடு செய்கிறார்கள்., No Error, அவர்கள் கோவிலில் மாலை நேரத்தில் வழிபாடு செய்கிறார்கள்.
அவன் பள்ளியில் புதிய பாடங்களை கற்றுக்கொள்கிறான்., No Error, அவன் பள்ளியில் புதிய பாடங்களை கற்றுக்கொள்கிறான்.
நீங்கள் மாலை நேரத்தில் யோகா பயிற்சி செய்கிறீர்கள்., No Error, நீங்கள் மாலை நேரத்தில் யோகா பயிற்சி செய்கிறீர்கள்.
நாங்கள் கோடைகாலத்தில் நீச்சல்குளத்தில் விளையாடுகிறோம்., No Error, நாங்கள் கோடைகாலத்தில் நீச்சல்குளத்தில் விளையாடுகிறோம்.
அவர்கள் மழைக்காலத்தில் காற்றில் பட்டங்கள் பறக்க விடுகிறார்கள்., No Error, அவர்கள் மழைக்காலத்தில் காற்றில் பட்டங்கள் பறக்க விடுகிறார்கள்.
அவள் பள்ளியில் பரிசு வென்றாள்., No Error, அவள் பள்ளியில் பரிசு வென்றாள்.
நான் புதிய பாடங்களை கற்றுக்கொள்வதில் ஆர்வம் காட்டுகிறேன்., No Error, நான் புதிய பாடங்களை கற்றுக்கொள்வதில் ஆர்வம் காட்டுகிறேன்.
நீங்கள் குழந்தைகளுடன் பொழுதுபோக்குகிறீர்கள்., No Error, நீங்கள் குழந்தைகளுடன் பொழுதுபோக்குகிறீர்கள்.
நாங்கள் மாலை நேரத்தில் அழகான நிலவை ரசிக்கிறோம்., No Error, நாங்கள் மாலை நேரத்தில் அழகான நிலவை ரசிக்கிறோம்.
அவர்கள் பள்ளி மைதானத்தில் விளையாடுகிறார்கள்., No Error, அவர்கள் பள்ளி மைதானத்தில் விளையாடுகிறார்கள்.
